year,method,reconstruction_status,reconstruction_failure_reason,repository_code_commit,repository_worktree_dirty,temporal_master_sha256,preperformance_manifest_payload_sha256,timesat_core_version,timesat_core_source_git_commit,timesat_cli_version,timesat_cli_source_git_commit,timesat_defaults_snapshot_payload_sha256,contract_version,outer_test_year,inner_selection_years,spline_candidate_grid,selected_smoothing,first_sparse_input_date,last_sparse_input_date,mask_scenario_id,diagnostic_n_sparse_inputs,diagnostic_minimum_reconstructed_value,diagnostic_n_negative_reconstructed_days,diagnostic_fraction_negative_reconstructed_days,diagnostic_negative_values_clipped,diagnostic_boundary_extrapolation,diagnostic_sparse_input_checksum,diagnostic_identical_sparse_input_enforced,n_pointwise_evaluation_dates,n_predictions_available,n_predictions_missing_or_nonfinite,q05_reference,q95_reference,q95_minus_q05,scale_available,scale_unavailable_reason,pointwise_metric_status,pointwise_metric_reason,bias,mae,rmse,nrmse,nrmse_status,nrmse_reason,n_common_support_dates,n_common_support_predictions,n_missing_common_support_predictions,minimum_reconstructed_value,n_negative_reconstructed_days,fraction_negative_reconstructed_days,negative_values_clipped,reference_peak_status,reference_peak_reason,reference_peak_time,reference_peak_value,reference_peak_plateau_start,reference_peak_plateau_end,reference_peak_plateau_days,reference_peak_at_boundary,reference_peak_distance_to_nearest_boundary_days,reconstruction_peak_status,reconstruction_peak_reason,reconstruction_peak_time,reconstruction_peak_value,reconstruction_peak_plateau_start,reconstruction_peak_plateau_end,reconstruction_peak_plateau_days,reconstruction_peak_at_boundary,reconstruction_peak_distance_to_nearest_boundary_days,seasonal_metric_status,seasonal_metric_reason,peak_timing_metric_status,peak_timing_metric_reason,signed_peak_date_error_days,absolute_peak_date_error_days,peak_timing_success_5d,peak_timing_success_10d,peak_timing_success_15d,signed_peak_magnitude_error,absolute_peak_magnitude_error,normalized_absolute_peak_magnitude_error,reference_integral,reconstruction_integral,signed_integral_error,absolute_integral_error,relative_integral_error,relative_integral_status,relative_integral_reason,pearson_correlation,correlation_status,correlation_reason,diagnostic_n_finite_output_dates,diagnostic_n_output_dates,diagnostic_n_missing_required_support_dates,analysis_role,source_result_path,original_method,selected_p_seapar,analysis_classification,p_seapar_selection_source,diagnostic_effective_p_seapar,diagnostic_effective_p_seapar_float64_hex,diagnostic_p_seapar_array_dtype,diagnostic_p_seapar_array_unique_count,diagnostic_p_seapar_exactly_materialized,diagnostic_requested_p_seapar,diagnostic_requested_p_seapar_float64_hex,diagnostic_identical_actual_mask_sparse_input_enforced,method_display_order,n_reference_events,n_available_reference_events,n_matched_events,n_missed_events,n_unavailable_events,recovery_fraction_5d,recovery_fraction_10d,recovery_fraction_15d,mean_absolute_timing_error_matched_days,mean_normalized_absolute_magnitude_error_matched
2019,linear_interpolation,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2019,2020;2021;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,10,2019-04-17,2019-12-05,actual_sentinel2_primary_sparse_input,35,0.95194400000000001,0,0,False,False,c1fce98fe738d8b89dcb11a541f83318d275b5a393d0f938282da04a5d0c969e,True,198,198,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.9156537070707067,3.2234391125793964,7.5084680958257044,0.26288729503827002,ok,,233,233,0,0.95194400000000001,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-25T00:00:00,29.236799999999999,2019-08-25,2019-08-25,1,False,102,ok,,ok,,-1,1,True,True,True,-31.658100000000001,31.658100000000001,1.1084168127021696,1870.269949,1490.970515,-379.29943400000002,379.29943400000002,-0.20280464550200611,ok,,0.81495958543044633,ok,,,,,frozen_primary_reused,results/phase3/actual_mask/erken_phase3_actual_mask_year_method_metrics.csv,linear_interpolation,,,,,,,,,,,,0,2,2,2,0,0,0.5,1,1,4,0.63966000722369865
2019,timesat_smoothing_spline,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2019,2020;2021;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,10,2019-04-17,2019-12-05,actual_sentinel2_primary_sparse_input,35,0.88920456171035755,0,0,False,,c1fce98fe738d8b89dcb11a541f83318d275b5a393d0f938282da04a5d0c969e,True,198,198,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-1.8355913658847227,3.2463872895323633,7.4793352445698353,0.26186729250703922,ok,,233,233,0,0.88920456171035755,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-17T00:00:00,28.175228118896484,2019-08-17,2019-08-17,1,False,110,ok,,ok,,-9,9,False,True,True,-32.719671881103515,32.719671881103515,1.1455846819333302,1870.269949,1506.8157243132591,-363.45422468674087,363.45422468674087,-0.1943324945583782,ok,,0.80413417212455873,ok,,365,365,0,frozen_primary_reused,results/phase3/actual_mask/erken_phase3_actual_mask_year_method_metrics.csv,timesat_smoothing_spline,,,,,,,,,,,,1,2,2,2,0,0,0,1,1,7.5,0.66071255690086705
2019,timesat_double_logistic_default_seapar1,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2019,2020;2021;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,10,2019-04-17,2019-12-05,actual_sentinel2_primary_sparse_input,35,0.95194524526596036,0,0,False,,c1fce98fe738d8b89dcb11a541f83318d275b5a393d0f938282da04a5d0c969e,True,198,198,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-2.6492422072484758,4.2311019493418023,7.7744444400484243,0.27219968749762552,ok,,233,233,0,0.95222115516662598,0,0,False,ok,,2019-08-26,60.8949,2019-08-26,2019-08-26,1,False,101,ok,,2019-08-21T12:00:00,21.558717727661133,2019-08-21,2019-08-22,2,False,105.5,ok,,ok,,-4.5,4.5,True,True,True,-39.336182272338867,39.336182272338867,1.3772426575877084,1870.269949,1325.8382762670517,-544.4316727329483,544.4316727329483,-0.2910979097023112,ok,,0.80039558192864035,ok,,365,365,0,frozen_primary_reused,results/phase3/actual_mask/erken_phase3_actual_mask_year_method_metrics.csv,timesat_double_logistic,1,,,,,,,,,,,2,2,2,1,1,0,0.5,0.5,0.5,4.5,1.3772426575877084
2019,timesat_double_logistic_cv_seapar,ok,,,,,,,,,,,Reconstruction_Analysis_Contract_v1.0.1,,,,,,,,35,1.645374059677124,0,0,False,,c1fce98fe738d8b89dcb11a541f83318d275b5a393d0f938282da04a5d0c969e,,198,198,0,1.0535319999999999,29.615079999999978,28.561547999999977,True,,ok,,-2.267958354158305,3.6404100928499239,7.3884622087138956,0.25868563597161831,ok,,233,233,0,1.645374059677124,0,0,False,ok,,2019-08-26T00:00:00,60.8949,2019-08-26T00:00:00,2019-08-26T00:00:00,1,False,101,ok,,2019-08-21T00:00:00,26.500631332397461,2019-08-21T00:00:00,2019-08-21T00:00:00,1,False,106,ok,,ok,,-5,5,True,True,True,-34.394268667602539,34.394268667602539,1.2042158452897078,1870.269949,1415.18137550354,-455.08857349646001,455.08857349646001,-0.2433277472804328,ok,,0.82626369235256025,ok,,365,365,0,secondary_sensitivity_new,results/phase5/double_logistic_seapar_actual_mask/erken_phase5_seapar_actual_mask_year_metrics.csv,timesat_double_logistic_cv_seapar,0,secondary_sensitivity_double_logistic_seasonal_parameter,results/phase5/double_logistic_seapar_selection/erken_phase5_seapar_selection.csv,0,0x0.0p+0,float64,1,True,0,0x0.0p+0,True,3,2,2,1,1,0,0.5,0.5,0.5,5,1.2042158452897078
2020,linear_interpolation,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2020,2019;2021;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,100,2020-01-19,2020-11-22,actual_sentinel2_primary_sparse_input,56,0.712565,0,0,False,False,d769a648b9b255e555a38a812963907a63d098837cf409dda4cc1fe5ab4821fc,True,247,247,0,1.0936710000000001,22.145130000000002,21.051459000000001,True,,ok,,-0.44756421862348172,1.5241441110177272,3.0314414740322202,0.1440014905395498,ok,,303,303,0,0.712565,0,0,False,ok,,2020-09-09,42.731900000000003,2020-09-09,2020-09-09,1,False,74,ok,,2020-08-09T00:00:00,38.953600000000002,2020-08-09,2020-08-09,1,False,105,ok,,ok,,-31,31,False,False,False,-3.7783000000000015,3.7783000000000015,0.17947924654533451,1917.163773,1806.4106422499999,-110.75313074999964,110.75313074999964,-0.057769259105439702,ok,,0.93002296267654316,ok,,,,,frozen_primary_reused,results/phase3/actual_mask/erken_phase3_actual_mask_year_method_metrics.csv,linear_interpolation,,,,,,,,,,,,0,3,3,3,0,0,1,1,1,1.3333333333333333,0.19165734150144501
2020,timesat_smoothing_spline,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2020,2019;2021;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,100,2020-01-19,2020-11-22,actual_sentinel2_primary_sparse_input,56,1.1019952297210691,0,0,False,,d769a648b9b255e555a38a812963907a63d098837cf409dda4cc1fe5ab4821fc,True,247,247,0,1.0936710000000001,22.145130000000002,21.051459000000001,True,,ok,,-0.55225301873621735,2.0997396860734883,4.000494412727134,0.19003406902709841,ok,,303,303,0,1.1019952297210691,0,0,False,ok,,2020-09-09,42.731900000000003,2020-09-09,2020-09-09,1,False,74,ok,,2020-04-11T00:00:00,22.065509796142575,2020-04-11,2020-04-11,1,False,83,ok,,ok,,-151,151,False,False,False,-20.666390203857425,20.666390203857425,0.98170821337644243,1917.163773,1784.9258459806442,-132.23792701935554,132.23792701935554,-0.068975811499102202,ok,,0.84071496839268411,ok,,365,365,0,frozen_primary_reused,results/phase3/actual_mask/erken_phase3_actual_mask_year_method_metrics.csv,timesat_smoothing_spline,,,,,,,,,,,,1,3,3,2,1,0,0.66666666666666663,0.66666666666666663,0.66666666666666663,2,1.0181250684368623
2020,timesat_double_logistic_default_seapar1,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2020,2019;2021;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,100,2020-01-19,2020-11-22,actual_sentinel2_primary_sparse_input,56,0.71699607372283936,0,0,False,,d769a648b9b255e555a38a812963907a63d098837cf409dda4cc1fe5ab4821fc,True,247,247,0,1.0936710000000001,22.145130000000002,21.051459000000001,True,,ok,,-0.027386182221184802,3.0294291078473137,5.3571924568595879,0.2544808156460599,ok,,303,303,0,0.74403810501098633,0,0,False,ok,,2020-09-09,42.731900000000003,2020-09-09,2020-09-09,1,False,74,ok,,2020-04-11T00:00:00,15.797514915466309,2020-04-11,2020-04-11,1,False,83,ok,,ok,,-151,151,False,False,False,-26.934385084533695,26.934385084533695,1.2794545539353686,1917.163773,1910.9432879686356,-6.2204850313642055,6.2204850313642055,-0.0032446289247529,ok,,0.66486755162307976,ok,,365,365,0,frozen_primary_reused,results/phase3/actual_mask/erken_phase3_actual_mask_year_method_metrics.csv,timesat_double_logistic,1,,,,,,,,,,,2,3,3,1,2,0,0,0,0.33333333333333331,11,1.3905761868390296
2020,timesat_double_logistic_cv_seapar,ok,,,,,,,,,,,Reconstruction_Analysis_Contract_v1.0.1,,,,,,,,56,1.6038902997970581,0,0,False,,d769a648b9b255e555a38a812963907a63d098837cf409dda4cc1fe5ab4821fc,,247,247,0,1.0936710000000001,22.145130000000002,21.051459000000001,True,,ok,,-0.26400762698704022,2.6910484983026297,4.9018290970543541,0.23284985126467261,ok,,303,303,0,1.6038902997970581,0,0,False,ok,,2020-09-09T00:00:00,42.731900000000003,2020-09-09T00:00:00,2020-09-09T00:00:00,1,False,74,ok,,2020-04-12T00:00:00,18.485252380371097,2020-04-12T00:00:00,2020-04-12T00:00:00,1,False,84,ok,,ok,,-150,150,False,False,False,-24.246647619628909,24.246647619628909,1.1517799131940885,1917.163773,1860.137189745903,-57.026583254096749,57.026583254096749,-0.029745285226655802,ok,,0.73029560599506693,ok,,365,365,0,secondary_sensitivity_new,results/phase5/double_logistic_seapar_actual_mask/erken_phase5_seapar_actual_mask_year_metrics.csv,timesat_double_logistic_cv_seapar,0,secondary_sensitivity_double_logistic_seasonal_parameter,results/phase5/double_logistic_seapar_selection/erken_phase5_seapar_selection.csv,0,0x0.0p+0,float64,1,True,0,0x0.0p+0,True,3,3,3,3,0,0,0.66666666666666663,1,1,2.6666666666666665,0.87927622302585373
2021,linear_interpolation,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2021,2019;2020;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,100,2021-03-19,2021-12-04,actual_sentinel2_primary_sparse_input,46,0.69021399999999977,0,0,False,False,59fa7291409d4058d8ec99a17249bbe4ab8d9ce3ceceeaa89cf624e4a9ae9ca3,True,215,215,0,1.2662899999999999,23.422599999999999,22.156310000000001,True,,ok,,0.40124781395348841,1.0943388259749554,2.0445830875213504,0.092279945871914001,ok,,261,261,0,0.69021399999999977,0,0,False,ok,,2021-04-08,37.868200000000002,2021-04-08,2021-04-08,1,False,20,ok,,2021-04-08T00:00:00,37.868200000000002,2021-04-08,2021-04-08,1,False,20,ok,,ok,,0,0,True,True,True,0,0,0,1469.9477440000001,1556.2160240000001,86.268280000000004,86.268280000000004,0.058687991020176002,ok,,0.96737469747612115,ok,,,,,frozen_primary_reused,results/phase3/actual_mask/erken_phase3_actual_mask_year_method_metrics.csv,linear_interpolation,,,,,,,,,,,,0,2,2,2,0,0,1,1,1,0,0
2021,timesat_smoothing_spline,ok,,a168e38c80ef247ff1ff033c80833403cc13a2da,False,93aec2a9dc2bfc56b439787498d21fa22a3d3aeb2b68784c15f317677644e0b8,170097cb3f6aa6e06129cc78e88b20883f682b0cc092a2a614a8055f29fdf2e3,4.4.1,b20844140bf38543349552341212609fa18b24b1,1.9.2,258b50565b322d9f5bafd9df9b822c80ca09a847,175a8fec6ae4a05495f342d4f78b54f7d44561b9a3f7c47a379eef2dbfef447b,Reconstruction_Analysis_Contract_v1.0.1,2021,2019;2020;2022;2023;2024;2025,0;1;3;10;30;100;300;1000,100,2021-03-19,2021-12-04,actual_sentinel2_primary_sparse_input,46,0,0,0,False,,59fa7291409d4058d8ec99a17249bbe4ab8d9ce3ceceeaa89cf624e4a9ae9ca3,True,215,215,0,1.2662899999999999,23.422599999999999,22.156310000000001,True,,ok,,0.62893892504490234,1.7586305845546495,3.034276331608103,0.13694863141055991,ok,,261,261,0,0.22092252969741821,0,0,False,ok,,2021-04-08,37.868200000000002,2021-04-08,2021-04-08,1,False,20,ok,,2021-04-05T00:00:00,29.197120666503903,2021-04-05,2021-04-05,1,False,17,ok,,ok,,-3,3,True,True,True,-8.6710793334960954,8.6710793334960954,0.39135936144132732,1469.9477440000001,1605.7739792317152,135.82623523171517,135.82623523171517,0.0924020842143045,ok,,0.90868446935674241,ok,,365,365,0,frozen_primary_reused,results/phase3/actual_mask/erken_phase3_actual_mask_year_method_metrics.csv,timesat_smoothing_spline,,,,,,,,,,,,1,2,2,2,0,0,1,1,1,2,0.34502902580016548
