product_level,year,index,minimum_valid_pixels,n_records,n_records_with_valid_pixel_count,n_records_unavailable,n_passing,pass_fraction_of_available,pass_fraction_of_all_records,threshold_status
L1C,2019,NDCI,9,35,34,1,31,0.9117647058823529,0.8857142857142857,PILOT_NOT_SELECTED
L1C,2019,NDCI,8,35,34,1,32,0.9411764705882353,0.9142857142857143,PILOT_NOT_SELECTED
L1C,2019,NDCI,6,35,34,1,32,0.9411764705882353,0.9142857142857143,PILOT_NOT_SELECTED
L1C,2019,NDCI,5,35,34,1,32,0.9411764705882353,0.9142857142857143,PILOT_NOT_SELECTED
L1C,2019,MCI,9,35,34,1,31,0.9117647058823529,0.8857142857142857,PILOT_NOT_SELECTED
L1C,2019,MCI,8,35,34,1,32,0.9411764705882353,0.9142857142857143,PILOT_NOT_SELECTED
L1C,2019,MCI,6,35,34,1,32,0.9411764705882353,0.9142857142857143,PILOT_NOT_SELECTED
L1C,2019,MCI,5,35,34,1,32,0.9411764705882353,0.9142857142857143,PILOT_NOT_SELECTED
L1C,2019,common_B456,9,35,34,1,31,0.9117647058823529,0.8857142857142857,PILOT_NOT_SELECTED
L1C,2019,common_B456,8,35,34,1,32,0.9411764705882353,0.9142857142857143,PILOT_NOT_SELECTED
L1C,2019,common_B456,6,35,34,1,32,0.9411764705882353,0.9142857142857143,PILOT_NOT_SELECTED
L1C,2019,common_B456,5,35,34,1,32,0.9411764705882353,0.9142857142857143,PILOT_NOT_SELECTED
L1C,2020,NDCI,9,56,56,0,53,0.9464285714285714,0.9464285714285714,PILOT_NOT_SELECTED
L1C,2020,NDCI,8,56,56,0,53,0.9464285714285714,0.9464285714285714,PILOT_NOT_SELECTED
L1C,2020,NDCI,6,56,56,0,53,0.9464285714285714,0.9464285714285714,PILOT_NOT_SELECTED
L1C,2020,NDCI,5,56,56,0,53,0.9464285714285714,0.9464285714285714,PILOT_NOT_SELECTED
L1C,2020,MCI,9,56,56,0,53,0.9464285714285714,0.9464285714285714,PILOT_NOT_SELECTED
L1C,2020,MCI,8,56,56,0,53,0.9464285714285714,0.9464285714285714,PILOT_NOT_SELECTED
L1C,2020,MCI,6,56,56,0,53,0.9464285714285714,0.9464285714285714,PILOT_NOT_SELECTED
L1C,2020,MCI,5,56,56,0,53,0.9464285714285714,0.9464285714285714,PILOT_NOT_SELECTED
L1C,2020,common_B456,9,56,56,0,53,0.9464285714285714,0.9464285714285714,PILOT_NOT_SELECTED
L1C,2020,common_B456,8,56,56,0,53,0.9464285714285714,0.9464285714285714,PILOT_NOT_SELECTED
L1C,2020,common_B456,6,56,56,0,53,0.9464285714285714,0.9464285714285714,PILOT_NOT_SELECTED
L1C,2020,common_B456,5,56,56,0,53,0.9464285714285714,0.9464285714285714,PILOT_NOT_SELECTED
L1C,2021,NDCI,9,48,48,0,46,0.9583333333333334,0.9583333333333334,PILOT_NOT_SELECTED
L1C,2021,NDCI,8,48,48,0,47,0.9791666666666666,0.9791666666666666,PILOT_NOT_SELECTED
L1C,2021,NDCI,6,48,48,0,47,0.9791666666666666,0.9791666666666666,PILOT_NOT_SELECTED
L1C,2021,NDCI,5,48,48,0,47,0.9791666666666666,0.9791666666666666,PILOT_NOT_SELECTED
L1C,2021,MCI,9,48,48,0,46,0.9583333333333334,0.9583333333333334,PILOT_NOT_SELECTED
L1C,2021,MCI,8,48,48,0,47,0.9791666666666666,0.9791666666666666,PILOT_NOT_SELECTED
L1C,2021,MCI,6,48,48,0,47,0.9791666666666666,0.9791666666666666,PILOT_NOT_SELECTED
L1C,2021,MCI,5,48,48,0,47,0.9791666666666666,0.9791666666666666,PILOT_NOT_SELECTED
L1C,2021,common_B456,9,48,48,0,46,0.9583333333333334,0.9583333333333334,PILOT_NOT_SELECTED
L1C,2021,common_B456,8,48,48,0,47,0.9791666666666666,0.9791666666666666,PILOT_NOT_SELECTED
L1C,2021,common_B456,6,48,48,0,47,0.9791666666666666,0.9791666666666666,PILOT_NOT_SELECTED
L1C,2021,common_B456,5,48,48,0,47,0.9791666666666666,0.9791666666666666,PILOT_NOT_SELECTED
