omitted_year,method_a,method_b,metric,metric_label,unit,favorable_direction,mean_advantage_for_method_a_after_omission,n_paired_years_retained
2019,linear_interpolation,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-64.272124784430233,6
2020,linear_interpolation,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-19.327977375832948,6
2021,linear_interpolation,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-44.260867820467674,6
2022,linear_interpolation,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-19.225551933420849,6
2023,linear_interpolation,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-31.589286855722474,6
2024,linear_interpolation,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-41.017662082279912,6
2025,linear_interpolation,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-0.80703912147904333,6
2019,linear_interpolation,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,22.5,6
2020,linear_interpolation,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,3.0833333333333335,6
2021,linear_interpolation,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,20.75,6
2022,linear_interpolation,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,23.916666666666668,6
2023,linear_interpolation,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,22.75,6
2024,linear_interpolation,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,23.583333333333332,6
2025,linear_interpolation,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,21.916666666666668,6
2019,linear_interpolation,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,11.411918736521402,6
2020,linear_interpolation,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,8.8322516011555994,6
2021,linear_interpolation,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,9.0606682650248196,6
2022,linear_interpolation,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,11.928041367340086,6
2023,linear_interpolation,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,12.685801175181069,6
2024,linear_interpolation,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,10.959903524017333,6
2025,linear_interpolation,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,11.271010022226969,6
2019,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,-0.032494081469094799,6
2020,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,-0.0086910990722628007,6
2021,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,-0.022888095143132184,6
2022,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,-0.005290312266530618,6
2023,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,-0.012915007260122117,6
2024,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,-0.020898162005134283,6
2025,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,-0.0034944673979869015,6
2019,linear_interpolation,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,1.0094421696114091,6
2020,linear_interpolation,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,0.92650514293354569,6
2021,linear_interpolation,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,0.89895015218907737,6
2022,linear_interpolation,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,0.99171012232830735,6
2023,linear_interpolation,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,1.1449632053025429,6
2024,linear_interpolation,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,1.049800778420507,6
2025,linear_interpolation,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,1.0429442836454719,6
2019,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.54669929939940864,6
2020,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.40817438898199282,6
2021,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.42762564840169848,6
2022,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.54606676345751159,6
2023,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.59095981973441336,6
2024,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.48537781981869504,6
2025,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.54411790148827077,6
2019,linear_interpolation,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.053273135911714294,6
2020,linear_interpolation,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.036411980470521861,6
2021,linear_interpolation,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.035150291342444073,6
2022,linear_interpolation,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.044969979148744427,6
2023,linear_interpolation,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.053794278172363812,6
2024,linear_interpolation,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.052448921057215651,6
2025,linear_interpolation,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.052902621826637131,6
2019,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.16666666666666666,6
2020,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.16666666666666666,6
2021,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,6
2022,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.16666666666666666,6
2023,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.16666666666666666,6
2024,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.16666666666666666,6
2025,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.16666666666666666,6
2019,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2020,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2021,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2022,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2023,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2024,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2025,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,6
2019,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,6
2020,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,6
2021,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,-0.16666666666666666,6
2022,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.16666666666666666,6
2023,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,6
2024,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,6
2025,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,6
2019,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.14001657382534144,6
2020,linear_interpolation,timesat_double_logistic,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.09825133923339853,6
