method,duration_days,observations_removed,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,a_gap_observed_minimum,a_gap_observed_maximum,window_midpoint_relative_position_observed_minimum,window_midpoint_relative_position_observed_maximum,observations_removed_observed_minimum,observations_removed_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum
linear_interpolation,10,1,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,150.18017275779866,85.283983639038624,238.4305389091455,7,7,565,0,565,0,0.0069078347491259001,5.546037846890906,0.0211538461538461,0.97629310344827602,1,1,15,52
linear_interpolation,10,1,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,34.635505339730692,1.6153846153846152,91.346076458752506,7,7,565,0,565,0,0.0069078347491259001,5.546037846890906,0.0211538461538461,0.97629310344827602,1,1,15,52
linear_interpolation,10,1,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.088129831743008688,0.055554319736538252,0.13074446127177017,7,7,565,0,565,0,0.0069078347491259001,5.546037846890906,0.0211538461538461,0.97629310344827602,1,1,15,52
linear_interpolation,10,1,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.7979145701816297,0.23342993254786151,1.4401727030367373,7,7,565,0,565,0,0.0069078347491259001,5.546037846890906,0.0211538461538461,0.97629310344827602,1,1,15,52
linear_interpolation,10,1,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.20485731621665898,0.1545535079101456,0.25007378679130915,7,7,565,0,565,0,0.0069078347491259001,5.546037846890906,0.0211538461538461,0.97629310344827602,1,1,15,52
linear_interpolation,10,1,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.71062271062271065,0.42124542124542125,0.99633699633699635,7,7,565,0,565,0,0.0069078347491259001,5.546037846890906,0.0211538461538461,0.97629310344827602,1,1,15,52
linear_interpolation,10,1,primary_controlled_consecutive_gap,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.71062271062271065,0.42124542124542125,0.99633699633699635,7,7,565,0,565,0,0.0069078347491259001,5.546037846890906,0.0211538461538461,0.97629310344827602,1,1,15,52
linear_interpolation,10,1,primary_controlled_consecutive_gap,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5714285714285714,0.14285714285714285,0.8571428571428571,7,7,565,0,565,0,0.0069078347491259001,5.546037846890906,0.0211538461538461,0.97629310344827602,1,1,15,52
linear_interpolation,10,1,primary_controlled_consecutive_gap,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.86089410392552423,0.81479213798861161,0.90954144028183859,7,7,565,0,565,0,0.0069078347491259001,5.546037846890906,0.0211538461538461,0.97629310344827602,1,1,15,52
linear_interpolation,10,1,primary_controlled_consecutive_gap,rmse,point-wise RMSE,ug_L,lower,4.3725238862897227,2.7845624130352435,6.116173725141925,7,7,565,0,565,0,0.0069078347491259001,5.546037846890906,0.0211538461538461,0.97629310344827602,1,1,15,52
linear_interpolation,10,2,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,164.84319515960942,98.284175831795196,246.04062076078864,7,7,458,0,458,0,0.015960269380356999,5.8205096687628375,0.021999999999999902,0.97799999999999998,2,2,15,57
linear_interpolation,10,2,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,37.016353177633114,3.7863332712408857,92.288425642982901,7,7,458,0,458,0,0.015960269380356999,5.8205096687628375,0.021999999999999902,0.97799999999999998,2,2,15,57
linear_interpolation,10,2,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.09756349837883678,0.063479734516943567,0.13908784046578643,7,7,458,0,458,0,0.015960269380356999,5.8205096687628375,0.021999999999999902,0.97799999999999998,2,2,15,57
linear_interpolation,10,2,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.81619952507369431,0.27596769746665956,1.4489698031992273,7,7,458,0,458,0,0.015960269380356999,5.8205096687628375,0.021999999999999902,0.97799999999999998,2,2,15,57
linear_interpolation,10,2,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.21075368097678898,0.16564490843656318,0.2516319548317813,7,7,458,0,458,0,0.015960269380356999,5.8205096687628375,0.021999999999999902,0.97799999999999998,2,2,15,57
linear_interpolation,10,2,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.66372874779653623,0.37918239396071901,0.94041357362366529,7,7,458,0,458,0,0.015960269380356999,5.8205096687628375,0.021999999999999902,0.97799999999999998,2,2,15,57
