duration_days,method_a,method_b,metric,analysis_role,metric_label,unit,favorable_direction,mean_raw_difference_a_minus_b,raw_difference_ci_lower,raw_difference_ci_upper,mean_advantage_for_method_a,advantage_ci_lower,advantage_ci_upper,n_paired_years,n_years_method_a_favored,n_years_method_b_favored,n_year_ties
10,linear_interpolation,timesat_double_logistic,absolute_integral_error,primary_controlled_consecutive_gap,absolute common-support integral error,ug_day_L,lower,17.913955571446049,-50.951446573926006,83.196736089749862,-17.913955571446049,-83.078409843165929,52.61197667456679,7,3,4,0
10,linear_interpolation,timesat_double_logistic,absolute_peak_date_error_days,primary_controlled_consecutive_gap,absolute global-peak date error,days,lower,-22.041409374820397,-53.32933096282904,0.70139146980090794,22.041409374820397,-0.67816704890934409,53.552662894861349,7,5,2,0
10,linear_interpolation,timesat_double_logistic,absolute_relative_integral_error,primary_controlled_consecutive_gap,absolute relative common-support integral error,fraction,lower,0.0088916319812681228,-0.028772299531645625,0.044208385019666986,-0.0088916319812681228,-0.043472527810657705,0.028700842841482301,7,3,4,0
10,linear_interpolation,timesat_double_logistic,normalized_absolute_peak_magnitude_error,primary_controlled_consecutive_gap,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.49601907707680087,-0.77457084168942714,-0.24363445121700225,0.49601907707680087,0.23767860107624217,0.78142611522514349,7,7,0,0
10,linear_interpolation,timesat_double_logistic,nrmse,primary_controlled_consecutive_gap,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.045107229077348251,-0.078688142897784807,-0.016878691669228046,0.045107229077348251,0.017023137188317505,0.079193886320140211,7,7,0,0
10,linear_interpolation,timesat_double_logistic,peak_timing_success_10d,primary_controlled_consecutive_gap,global-peak timing success <=10 d,fraction,higher,0.11275327178827244,-0.038075191391837203,0.3935763860669993,0.11275327178827244,-0.03811582660143361,0.3935763860669993,7,1,3,3
10,linear_interpolation,timesat_double_logistic,peak_timing_success_15d,primary_controlled_consecutive_gap,global-peak timing success <=15 d,fraction,higher,0.023233757282980244,-0.032085391653189972,0.11328091637569392,0.023233757282980244,-0.031570432724304535,0.11328091637569392,7,1,3,3
10,linear_interpolation,timesat_double_logistic,peak_timing_success_5d,primary_controlled_consecutive_gap,global-peak timing success <=5 d,fraction,higher,0.018938856807313061,-0.39899427389177511,0.4103343465045593,0.018938856807313061,-0.39899427389177511,0.4103343465045593,7,2,2,3
10,linear_interpolation,timesat_double_logistic,pearson_correlation,primary_controlled_consecutive_gap,daily trajectory Pearson correlation,correlation,higher,0.12018769728019864,0.053386870285816679,0.19325485397801165,0.12018769728019864,0.055435394828296417,0.19249560620268052,7,7,0,0
10,linear_interpolation,timesat_double_logistic,rmse,primary_controlled_consecutive_gap,point-wise RMSE,ug_L,lower,-0.93976983125309876,-1.6548043109208637,-0.30614434324619122,0.93976983125309876,0.30618413985376652,1.6750570086887551,7,7,0,0
10,linear_interpolation,timesat_smoothing_spline,absolute_integral_error,primary_controlled_consecutive_gap,absolute common-support integral error,ug_day_L,lower,-27.281771932570386,-41.403441366083079,-11.351151746881635,27.281771932570386,11.828821338149471,41.941551186472743,7,6,1,0
10,linear_interpolation,timesat_smoothing_spline,absolute_peak_date_error_days,primary_controlled_consecutive_gap,absolute global-peak date error,days,lower,-16.145725485856406,-46.374546790622382,0.86919099034962655,16.145725485856406,-0.94616008181870093,46.214111659910479,7,5,2,0
10,linear_interpolation,timesat_smoothing_spline,absolute_relative_integral_error,primary_controlled_consecutive_gap,absolute relative common-support integral error,fraction,lower,-0.018966480971752964,-0.03035775473019537,-0.0071297910093615392,0.018966480971752964,0.0076187625093192147,0.030220864775501854,7,6,1,0
10,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,primary_controlled_consecutive_gap,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.22697140230333071,-0.43409337352214461,-0.071769852431456505,0.22697140230333071,0.072652578488367689,0.43409337352214461,7,7,0,0
10,linear_interpolation,timesat_smoothing_spline,nrmse,primary_controlled_consecutive_gap,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.019652364751624185,-0.032350394806826874,-0.0070873042068461045,0.019652364751624185,0.006809663095813513,0.032350617300193181,7,6,1,0
10,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,primary_controlled_consecutive_gap,global-peak timing success <=10 d,fraction,higher,0.1016122097960289,-0.028844196555795312,0.33784019844181251,0.1016122097960289,-0.028844196555795312,0.33784019844181251,7,1,2,4
10,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,primary_controlled_consecutive_gap,global-peak timing success <=15 d,fraction,higher,-0.01551102848080654,-0.035859663802703889,0.0038197097020626425,-0.01551102848080654,-0.035859663802703889,0.0057120026694063176,7,1,3,3
10,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,primary_controlled_consecutive_gap,global-peak timing success <=5 d,fraction,higher,0.11285889785660266,-0.041817749607316053,0.38179336567912975,0.11285889785660266,-0.044794038593105601,0.38257206558884593,7,2,2,3
10,linear_interpolation,timesat_smoothing_spline,pearson_correlation,primary_controlled_consecutive_gap,daily trajectory Pearson correlation,correlation,higher,0.034521447358993158,0.015405336298714181,0.058049243857190715,0.034521447358993158,0.015405336298714181,0.05648702515434053,7,7,0,0
10,linear_interpolation,timesat_smoothing_spline,rmse,primary_controlled_consecutive_gap,point-wise RMSE,ug_L,lower,-0.37359623337244319,-0.67190839900770105,-0.10796592736375184,0.37359623337244319,0.10440640645398555,0.66455644958063576,7,6,1,0
10,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,primary_controlled_consecutive_gap,absolute common-support integral error,ug_day_L,lower,45.195727504016432,-33.234755715363796,109.74190676414673,-45.195727504016432,-111.60783359745565,33.101812745394142,7,2,5,0
10,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,primary_controlled_consecutive_gap,absolute global-peak date error,days,lower,-5.8956838889639869,-18.605250697078549,3.7708889965644099,5.8956838889639869,-3.7708889965644099,19.015196694965589,7,4,3,0
10,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,primary_controlled_consecutive_gap,absolute relative common-support integral error,fraction,lower,0.02785811295302109,-0.015005996963575416,0.061457652600636577,-0.02785811295302109,-0.06152383485541503,0.015141738279937617,7,2,5,0
10,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,primary_controlled_consecutive_gap,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,-0.26904767477347008,-0.41083695841415085,-0.12062145972747206,0.26904767477347008,0.11660677377183873,0.40977479219989055,7,6,1,0
10,timesat_smoothing_spline,timesat_double_logistic,nrmse,primary_controlled_consecutive_gap,point-wise nRMSE,fraction_Q95_minus_Q05,lower,-0.025454864325724059,-0.049819853702926034,-0.0017545019712558968,0.025454864325724059,0.0023191995222802764,0.048757506110804004,7,5,2,0
10,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_10d,primary_controlled_consecutive_gap,global-peak timing success <=10 d,fraction,higher,0.011141061992243533,-0.35816026555538327,0.39420142947279141,0.011141061992243533,-0.36022300603026508,0.39858220144530188,7,2,3,2
10,timesat_smoothing_spline,timesat_double_logistic,peak_timing_success_15d,primary_controlled_consecutive_gap,global-peak timing success <=15 d,fraction,higher,0.038744785763786781,-0.011459129106187928,0.12280765656007434,0.038744785763786781,-0.011459129106187928,0.12217042259140334,7,2,2,3
