scenario_family,level_name,level_value,method,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total
consecutive_internal_gap,duration_days,10,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.13719259463940317,0,0.39859077093119655,7,1379,0
consecutive_internal_gap,duration_days,10,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,6.488925168273739,-0.19728534668219308,17.332643506672927,7,1379,0
consecutive_internal_gap,duration_days,10,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-7.815956198724094,-28.108308090492844,19.065691187991973,7,1379,0
consecutive_internal_gap,duration_days,10,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.16614372108209743,-0.0073411874439698157,0.40318619599803529,7,1379,0
consecutive_internal_gap,duration_days,10,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.010922623911493306,0.0041653958505425259,0.017460366779862718,7,1379,0
consecutive_internal_gap,duration_days,10,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.033154996253704501,0.0096246440244373895,0.059002517467972325,7,1379,0
consecutive_internal_gap,duration_days,10,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.7147001934235977,0.4224924012158055,0.99392097264437695,7,1379,0
consecutive_internal_gap,duration_days,10,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,51.324990593273505,3.1197064512458752,109.20675159428659,7,1379,0
consecutive_internal_gap,duration_days,10,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,149.42404353762271,80.272083076455132,258.23411067944426,7,1379,0
consecutive_internal_gap,duration_days,10,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.51525481480791435,0.29910467093814269,0.73140495867768596,7,1379,0
consecutive_internal_gap,duration_days,10,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.24174337915422622,0.21050860704715807,0.27399119187013299,7,1379,0
consecutive_internal_gap,duration_days,10,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.77045613019351111,0.72648904543915571,0.81321903060330158,7,1379,0
consecutive_internal_gap,duration_days,10,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.57750759878419455,0.16717325227963528,0.86322188449848025,7,1379,0
consecutive_internal_gap,duration_days,10,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,57.81391576154725,8.0598995497618766,120.8066224837042,7,1379,0
consecutive_internal_gap,duration_days,10,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,141.60808733889863,60.4481989876546,274.34607760794682,7,1379,0
consecutive_internal_gap,duration_days,10,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.34911109372581689,0.20235510172331067,0.47979390997698762,7,1379,0
consecutive_internal_gap,duration_days,10,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.25266600306571957,0.21959549826745764,0.28779242149889667,7,1379,0
consecutive_internal_gap,duration_days,10,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.73730113393980656,0.68965402609816773,0.79010839477826955,7,1379,0
consecutive_internal_gap,duration_days,20,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.12974137239243064,-0.0019933554817275689,0.38156814449917908,7,1525,0
consecutive_internal_gap,duration_days,20,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,8.5789341130490779,0.057846532531474572,22.457680980938097,7,1525,0
consecutive_internal_gap,duration_days,20,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-11.092852348986233,-30.646770447476989,14.491834009813187,7,1525,0
consecutive_internal_gap,duration_days,20,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.14937793000801336,-0.0022894506619675309,0.33539346052333741,7,1525,0
consecutive_internal_gap,duration_days,20,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.0103565943229418,0.0039108947647829495,0.01676529627585549,7,1525,0
consecutive_internal_gap,duration_days,20,cv_minus_default_paired_advantage,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.032815813060833747,0.012414398879524068,0.0560998815596652,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.70495809765349349,0.40587712096332795,0.98190753045404211,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,51.330142371147581,3.9852025298022733,109.80391827895578,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,168.33059953663385,100.69479098652158,270.4169895000793,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.49841830326330561,0.29761890732896018,0.70292579148389234,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.24614774647347776,0.21587411942931453,0.27644590004058694,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_cv_seapar,secondary_double_logistic_parameter_sensitivity,mean_pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.76273372680499174,0.71666293330511865,0.8064891255009673,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,global_peak_success_fraction_10d,global-peak timing success <=10 d,fraction,higher,0.57521672526106282,0.17432966878929865,0.85797964113181491,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_absolute_global_peak_timing_error_days,absolute global-peak date error,days,lower,59.909076484196653,10.422339829295302,119.57876848259147,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_absolute_integral_error,absolute common-support integral error,ug_day_L,lower,157.23774718764767,77.12982054132749,283.47858962478659,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_event_recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.34904037325529219,0.20655671003058279,0.47031505337554957,7,1525,0
consecutive_internal_gap,duration_days,20,timesat_double_logistic_default_seapar1,secondary_double_logistic_parameter_sensitivity,mean_nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.25650434079641959,0.22418882665027914,0.29137857040040976,7,1525,0
