method,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_metric_available,n_reference_events_total,n_available_reference_events_total,n_matched_events_total,n_missed_events_total,n_unavailable_events_total,n_method_failures_total,n_success_5d_total,n_success_10d_total,n_success_15d_total
linear_interpolation,secondary_exploratory_event_recovery,mean_absolute_timing_error_matched_days,matched-event absolute timing error,days,lower,3.1547619047619047,1.6666666666666665,4.7142857142857144,7,18,18,18,0,0,0,14,17,18
linear_interpolation,secondary_exploratory_event_recovery,mean_normalized_absolute_magnitude_error_matched,matched-event normalized absolute magnitude error,fraction_Q95_minus_Q05,lower,0.50174387580424151,0.2307622623823975,0.82781856625436223,7,18,18,18,0,0,0,14,17,18
linear_interpolation,secondary_exploratory_event_recovery,recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.95238095238095244,0.8571428571428571,1,7,18,18,18,0,0,0,14,17,18
linear_interpolation,secondary_exploratory_event_recovery,recovery_fraction_15d,major-event recovery <=15 d,fraction,higher,1,1,1,7,18,18,18,0,0,0,14,17,18
linear_interpolation,secondary_exploratory_event_recovery,recovery_fraction_5d,major-event recovery <=5 d,fraction,higher,0.73809523809523803,0.45238095238095238,0.95238095238095244,7,18,18,18,0,0,0,14,17,18
timesat_double_logistic,secondary_exploratory_event_recovery,mean_absolute_timing_error_matched_days,matched-event absolute timing error,days,lower,6.7142857142857144,3.4285714285714284,10.071428571428571,7,18,18,8,10,0,0,3,5,8
timesat_double_logistic,secondary_exploratory_event_recovery,mean_normalized_absolute_magnitude_error_matched,matched-event normalized absolute magnitude error,fraction_Q95_minus_Q05,lower,1.1738894902937755,0.70651447120557598,1.7407029427130709,7,18,18,8,10,0,0,3,5,8
timesat_double_logistic,secondary_exploratory_event_recovery,recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.33333333333333331,0.16666666666666666,0.47619047619047622,7,18,18,8,10,0,0,3,5,8
timesat_double_logistic,secondary_exploratory_event_recovery,recovery_fraction_15d,major-event recovery <=15 d,fraction,higher,0.48809523809523808,0.34523809523809523,0.6785714285714286,7,18,18,8,10,0,0,3,5,8
timesat_double_logistic,secondary_exploratory_event_recovery,recovery_fraction_5d,major-event recovery <=5 d,fraction,higher,0.21428571428571427,0.071428571428571425,0.42857142857142855,7,18,18,8,10,0,0,3,5,8
timesat_smoothing_spline,secondary_exploratory_event_recovery,mean_absolute_timing_error_matched_days,matched-event absolute timing error,days,lower,4,2.5714285714285716,5.6428571428571432,7,18,18,15,3,0,0,11,15,15
timesat_smoothing_spline,secondary_exploratory_event_recovery,mean_normalized_absolute_magnitude_error_matched,matched-event normalized absolute magnitude error,fraction_Q95_minus_Q05,lower,0.85577271404035027,0.45247058349296038,1.4225051321421378,7,18,18,15,3,0,0,11,15,15
timesat_smoothing_spline,secondary_exploratory_event_recovery,recovery_fraction_10d,major-event recovery <=10 d,fraction,higher,0.83333333333333326,0.69047619047619047,0.95238095238095244,7,18,18,15,3,0,0,11,15,15
timesat_smoothing_spline,secondary_exploratory_event_recovery,recovery_fraction_15d,major-event recovery <=15 d,fraction,higher,0.83333333333333326,0.69047619047619047,0.95238095238095244,7,18,18,15,3,0,0,11,15,15
timesat_smoothing_spline,secondary_exploratory_event_recovery,recovery_fraction_5d,major-event recovery <=5 d,fraction,higher,0.5714285714285714,0.23809523809523808,0.8571428571428571,7,18,18,15,3,0,0,11,15,15
