method,covariate,outcome,scenario_family,equal_year_mean_spearman,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_metric_available,n_scenarios_available_total,covariate_observed_minimum,covariate_observed_maximum
linear_interpolation,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,random_deletion,0.13125094661443118,0.063909245536444489,0.19492245685125398,7,2800,15,117
linear_interpolation,resulting_maximum_internal_gap_days,nrmse,random_deletion,0.26106747314259005,0.026190034974254796,0.47199554922142023,7,2800,15,117
linear_interpolation,resulting_maximum_internal_gap_days,peak_timing_success_10d,random_deletion,-0.13754867496395332,-0.22962323363733783,-0.0091483697520231659,5,2800,15,117
linear_interpolation,resulting_observation_density,absolute_peak_date_error_days,random_deletion,-0.22289916036334265,-0.30697257615168944,-0.13276549473950364,7,2800,0.062780269058295798,0.1713147410358565
linear_interpolation,resulting_observation_density,nrmse,random_deletion,-0.32697210970924562,-0.5704037142167897,-0.0619596280327337,7,2800,0.062780269058295798,0.1713147410358565
linear_interpolation,resulting_observation_density,peak_timing_success_10d,random_deletion,0.16404910945323761,-0.028981023550001317,0.28816474213972409,5,2800,0.062780269058295798,0.1713147410358565
timesat_double_logistic,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,random_deletion,0.097784234940296519,-0.032500650621675883,0.23438926319743764,7,2800,15,117
timesat_double_logistic,resulting_maximum_internal_gap_days,nrmse,random_deletion,0.35005924426000268,0.25301827563146212,0.4503369807001712,7,2800,15,117
timesat_double_logistic,resulting_maximum_internal_gap_days,peak_timing_success_10d,random_deletion,-0.072153264474879145,-0.176476456571526,0.047322948769397001,6,2800,15,117
timesat_double_logistic,resulting_observation_density,absolute_peak_date_error_days,random_deletion,-0.07467377369057937,-0.2438950115781382,0.092083354840036907,7,2800,0.062780269058295798,0.1713147410358565
timesat_double_logistic,resulting_observation_density,nrmse,random_deletion,-0.4200678582693812,-0.5078087042780024,-0.32816997553257454,7,2800,0.062780269058295798,0.1713147410358565
timesat_double_logistic,resulting_observation_density,peak_timing_success_10d,random_deletion,0.051079215749411454,-0.082758087667423208,0.1815764214896548,6,2800,0.062780269058295798,0.1713147410358565
timesat_smoothing_spline,resulting_maximum_internal_gap_days,absolute_peak_date_error_days,random_deletion,-0.047336973778852251,-0.1501469260451091,0.063251939779473437,7,2800,15,117
timesat_smoothing_spline,resulting_maximum_internal_gap_days,nrmse,random_deletion,0.26197596428532072,0.042874531339918108,0.46431245766633306,7,2800,15,117
timesat_smoothing_spline,resulting_maximum_internal_gap_days,peak_timing_success_10d,random_deletion,-0.079454321626511198,-0.1777646972312692,0.031886816554682403,6,2800,15,117
timesat_smoothing_spline,resulting_observation_density,absolute_peak_date_error_days,random_deletion,0.079752974737024723,-0.10694061766876464,0.23449955546339327,7,2800,0.062780269058295798,0.1713147410358565
timesat_smoothing_spline,resulting_observation_density,nrmse,random_deletion,-0.28452131158387362,-0.5210064154436751,-0.041999865776184489,7,2800,0.062780269058295798,0.1713147410358565
timesat_smoothing_spline,resulting_observation_density,peak_timing_success_10d,random_deletion,0.058631093055698857,-0.11851246828580046,0.19954392347626318,6,2800,0.062780269058295798,0.1713147410358565
