method,stratification_variable,covariate_class,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,observations_remaining_observed_minimum,observations_remaining_observed_maximum,resulting_observation_density_observed_minimum,resulting_observation_density_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum,n_delete_observed_minimum,n_delete_observed_maximum
linear_interpolation,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,125.34467327026854,91.579777429268546,162.80843703300008,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
linear_interpolation,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,absolute_peak_date_error_days,absolute global-peak date error,days,lower,50.647000000000006,4.6240000000000006,126.25500000000002,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
linear_interpolation,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.072891581951104636,0.055382270208681784,0.092016728835074821,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
linear_interpolation,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.92693785294821285,0.23139724957952629,1.742392332034838,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
linear_interpolation,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.2108229041638528,0.15388423968669546,0.26186741715530937,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
linear_interpolation,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.55700000000000005,0.183,0.93100000000000005,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
linear_interpolation,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.58399999999999996,0.192,0.97599999999999998,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
linear_interpolation,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.375,0.0050000000000000001,0.76400000000000001,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
linear_interpolation,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.84862251693953417,0.79674676131565014,0.91022716668509074,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
linear_interpolation,resulting_observation_density,high,exploratory_post_hoc_visual_stratification,rmse,point-wise RMSE,ug_L,lower,4.4770348376966265,3.1623632814164608,6.3764378733739413,5,5,900,0,900,0,32,51,0.1398305084745762,0.1713147410358565,15,52,3,11
linear_interpolation,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,210.32540441266275,153.52793994909135,274.16413560357142,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
linear_interpolation,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,absolute_peak_date_error_days,absolute global-peak date error,days,lower,40.489047619047618,7.8938095238095247,87.394285714285715,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
linear_interpolation,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.12685678065638134,0.10068618144805584,0.15541368808589298,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
linear_interpolation,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.94584571361631764,0.42183199668613947,1.5540048883958535,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
linear_interpolation,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.24520141912331458,0.21653362642602367,0.27280374228957871,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
linear_interpolation,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.58642857142857152,0.31214285714285711,0.82428571428571418,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
linear_interpolation,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.65500000000000003,0.37357142857142861,0.91214285714285714,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
linear_interpolation,resulting_observation_density,low,exploratory_post_hoc_visual_stratification,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.47500000000000003,0.18142857142857144,0.76642857142857146,7,7,1000,0,1000,0,14,29,0.062780269058295798,0.1072961373390558,20,117,5,27
