section,metric,value,detail
daily_reference,total_rows,2420,
daily_reference,unique_dates,2420,
daily_reference,date_min,2019-04-17 00:00:00,
daily_reference,date_max,2025-11-30 00:00:00,
daily_reference,duplicate_dates,0,
daily_reference,missing_calendar_dates,0,
daily_reference,missing_chlf_values,0,
daily_reference,nonfinite_nonmissing_chlf_values,0,
daily_reference,negative_chlf_values,0,
daily_reference,presence_ice_ice_flag_inconsistencies,0,
daily_reference,open_water_inconsistencies,0,
measurement_regime,2023_onward,1065,
measurement_regime,pre_2023,1355,
measurement_regime,transitions,1,2023-01-01=2023_onward
frozen_s2_mask,total_rows,926,
frozen_s2_mask,unique_dates,926,
frozen_s2_mask,date_min,2019-04-17 00:00:00,
frozen_s2_mask,date_max,2025-11-30 00:00:00,
frozen_s2_mask,duplicate_dates,0,
frozen_s2_mask,s2_date_usable,307,
frozen_s2_mask,unique_usable_dates,307,
frozen_s2_mask,mask_version,erken_s2_observation_mask_v1,
frozen_s2_mask,qc_rule_id,scl3x3_b1_w8_centernotbad_p0_class2zero_v1,
frozen_s2_mask,sum_n_products_on_date,950,
frozen_s2_mask,sum_n_products_passing,313,
frozen_s2_mask,usable_dates_missing_selected_product_id,0,
frozen_s2_mask,unusable_dates_with_selected_product_id,0,
date_join,mask_dates_matching_daily_reference,926,
date_join,mask_dates_without_daily_reference_row,0,
date_join,s2_usable_dates_matching_daily_reference,307,
date_join,s2_usable_dates_without_daily_reference_row,0,
date_join,s2_usable_dates_with_reference_missing,0,
date_join,s2_usable_dates_not_openwater,19,
date_join,preliminary_sparse_candidates,288,
reconciliation,n_s2_usable_lhs,307,
reconciliation,n_preliminary_candidates,288,"Mutually exclusive category 1: matched daily row, finite CHLF, open water."
reconciliation,n_s2_usable_but_not_openwater,19,"Mutually exclusive category 2: matched finite CHLF, not open water."
reconciliation,n_s2_usable_but_reference_missing,0,"Mutually exclusive category 3: matched row, missing/non-finite CHLF."
reconciliation,n_s2_usable_without_daily_row,0,Mutually exclusive category 4: date absent from daily reference.
reconciliation,classified_total_rhs,307,
reconciliation,identity_difference,0,
reconciliation,identity_passed,True,
s2_usable_calendar_intervals,n_intervals,306,
s2_usable_calendar_intervals,median_interval_days,5.0,
s2_usable_calendar_intervals,q25_interval_days,3.0,
s2_usable_calendar_intervals,q75_interval_days,10.0,
s2_usable_calendar_intervals,maximum_interval_days,120,
s2_usable_calendar_intervals,n_intervals_gt_10_days,57,
s2_usable_calendar_intervals,n_intervals_gt_20_days,15,
s2_usable_calendar_intervals,n_intervals_gt_30_days,8,
s2_usable_calendar_intervals,n_intervals_gt_45_days,4,
preliminary_candidate_calendar_intervals,n_intervals,287,
preliminary_candidate_calendar_intervals,median_interval_days,5.0,
preliminary_candidate_calendar_intervals,q25_interval_days,3.0,
preliminary_candidate_calendar_intervals,q75_interval_days,8.0,
preliminary_candidate_calendar_intervals,maximum_interval_days,140,
preliminary_candidate_calendar_intervals,n_intervals_gt_10_days,49,
preliminary_candidate_calendar_intervals,n_intervals_gt_20_days,12,
preliminary_candidate_calendar_intervals,n_intervals_gt_30_days,7,
preliminary_candidate_calendar_intervals,n_intervals_gt_45_days,5,
preliminary_candidate_intervals,n_cross_year_intervals,6,
preliminary_candidate_intervals,n_intervals_containing_ice,6,
