method,date,year,observation_unit,same_day_reduction,n_products_considered,n_products_mci_eligible,n_products_ndci_eligible,mci_observation_available,MCI_date_median,MCI_observation_median_min,MCI_observation_median_max,MCI_observation_median_spread,ndci_observation_available,NDCI_date_median,contributing_product_ids,contributing_sensing_datetimes_utc,contributing_processing_baselines,contributing_mci_valid_pixel_counts,contributing_mci_valid_pixel_fractions,excluded_product_ids,excluded_product_statuses,reprocessings_counted_as_independent_observations,methods_pooled,support_pixel_count
ACOLITE,2017-01-07,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_01_07_10_25_15_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-01-10,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_01_10_10_35_10_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-01-27,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,1,1,True,0.0012461990118026733,0.0012461990118026733,0.0012461990118026733,0.0,True,-0.0007492446548274106,S2A_MSI_2017_01_27_10_25_16_T33UVB,2017-01-27T10:23:01Z,N0500,9,1.0,,,False,False,9
ACOLITE,2017-01-30,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_01_30_10_35_10_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-02-06,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_02_06_10_25_16_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-02-09,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_02_09_10_35_11_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-02-16,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,1,1,True,-0.0014516973868012421,-0.0014516973868012421,-0.0014516973868012421,0.0,True,-0.11787776438095775,S2A_MSI_2017_02_16_10_25_17_T33UVB,2017-02-16T10:21:01Z,N0500,9,1.0,,,False,False,9
ACOLITE,2017-02-19,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_02_19_10_35_11_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-02-26,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_02_26_10_25_16_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-03-01,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_03_01_10_35_10_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-03-08,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_03_08_10_25_14_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-03-11,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,1,1,True,0.0021554055313269295,0.0021554055313269295,0.0021554055313269295,0.0,True,-0.008112920675538593,S2A_MSI_2017_03_11_10_35_09_T33UVB,2017-03-11T10:30:11Z,N0500,9,1.0,,,False,False,9
ACOLITE,2017-03-18,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_03_18_10_25_14_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-03-20,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2B_MSI_2017_03_20_10_20_05_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-03-21,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_03_21_10_35_10_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-03-23,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,1,1,True,0.009291373193264008,0.009291373193264008,0.009291373193264008,0.0,True,0.1345064413639419,S2B_MSI_2017_03_23_10_25_54_T33UVB,2017-03-23T10:20:59Z,N0500,9,1.0,,,False,False,9
ACOLITE,2017-03-26,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2B_MSI_2017_03_26_10_35_27_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-03-28,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_03_28_10_25_17_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-03-31,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_03_31_10_35_13_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-04-02,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2B_MSI_2017_04_02_10_25_19_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-04-05,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2B_MSI_2017_04_05_10_35_14_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-04-07,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_04_07_10_25_20_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-04-10,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_04_10_10_35_15_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-04-12,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2B_MSI_2017_04_12_10_25_20_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-04-15,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2B_MSI_2017_04_15_10_35_14_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-04-17,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_04_17_10_25_23_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-04-20,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_04_20_10_35_18_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-04-22,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,1,1,True,0.0004044714694221817,0.0004044714694221817,0.0004044714694221817,0.0,True,0.001981160065213515,S2B_MSI_2017_04_22_10_25_19_T33UVB,2017-04-22T10:20:19Z,N0500,9,1.0,,,False,False,9
ACOLITE,2017-04-25,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2B_MSI_2017_04_25_10_35_14_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-04-27,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,1,1,True,-0.00037566795945167576,-0.00037566795945167576,-0.00037566795945167576,0.0,True,-0.06345507059093033,S2A_MSI_2017_04_27_10_25_24_T33UVB,2017-04-27T10:20:31Z,N0500,9,1.0,,,False,False,9
ACOLITE,2017-04-30,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_04_30_10_35_19_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-05-02,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,1,1,True,-0.00060955664763848,-0.00060955664763848,-0.00060955664763848,0.0,True,0.05609660702828121,S2B_MSI_2017_05_02_10_25_18_T33UVB,2017-05-02T10:20:19Z,N0500,9,1.0,,,False,False,9
ACOLITE,2017-05-05,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2B_MSI_2017_05_05_10_35_13_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-05-07,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_05_07_10_25_25_T33UVB,ineligible_below_6_valid_pixels,False,False,9
ACOLITE,2017-05-10,2017,whole_calendar_date,median_of_eligible_observation_level_medians,1,0,0,False,,,,,False,,,,,,,S2A_MSI_2017_05_10_10_35_20_T33UVB,ineligible_below_6_valid_pixels,False,False,9
